"time"	"cell.id"	"cell.type"	"PM"	"Z"	"gI"	"IFN_nM"	"TGF_nM"
38	183	1	14259.99602	6506.46096	0	0.001001339665	0.09486029063
38	184	1	13897.33405	5923.822036	0	0.0008505997274	0.08544925031
38	185	1	13595.29528	5501.976905	0	0.0007935117713	0.07453906887
38	186	1	13375.33516	5223.127756	0	0.0006679119055	0.06831356224
38	187	1	13196.68705	5010.925831	0	0.0003440300709	0.06235028489
38	188	1	13066.92423	4864.501728	0	0.0001605321954	0.05795477968
38	189	1	12983.36051	4773.405989	0	7.393803872e-05	0.05494331738
38	190	1	12946.58413	4734.213989	0	3.638995213e-05	0.05384294489
38	192	1	14932.52342	7951.381303	0	0.0002496074355	0.115661066
38	193	1	14444.31897	6850.982027	0	0.0002825465126	0.1017900997
38	194	1	14083.64074	6213.844913	0	0.0003068337322	0.0905089819
38	195	1	13773.05616	5743.522857	0	0.0002856875852	0.08033777181
38	196	1	13491.25475	5366.673839	0	0.0002326515115	0.07226802076
38	197	1	13289.87513	5119.464865	0	0.0001728318391	0.06559874674
38	198	1	13126.06183	4930.359517	0	9.32969898e-05	0.05894612614
38	199	1	13015.07518	4807.475022	0	4.346546154e-05	0.05642125279
38	200	1	12954.07441	4742.217841	0	1.94107723e-05	0.05453873716
38	138	2	27949.64405	92162.90236	0	0.004412380186	0.1647203996
38	75	2	28322.01702	94817.32537	0	0.001028312874	0.1670640944
38	159	2	28841.99698	98530.00213	0	0.001202155207	0.1713531742
38	54	2	28629.70256	97024.53804	0	0.001818501154	0.1715019625
38	96	2	28480.09361	95909.03429	0	0.001087198978	0.1664239834
38	117	2	27690.89414	90327.32444	0	0.00348470618	0.1573583127
38	1	2	27702.39269	90358.72041	0	0.00142785074	0.1525320801
38	33	2	27715.09361	90461.61199	0	0.00363665676	0.155296787
38	149	2	26933.95528	84982.93576	0	0.004687301196	0.1438788646
38	180	2	27667.12029	90158.9699	0	0.000282258393	0.1583158496
38	107	2	26573.63707	82505.14269	0	0.002638152068	0.1419710483
38	128	2	26588.78657	82621.05181	0	0.01383629286	0.1431474632
38	44	2	27401.1759	88308.61166	0	0.004677022825	0.1580824884
38	65	2	26704.70706	83411.23034	0	0.005288801877	0.1407031495
38	86	2	27111.8249	86245.87388	0	0.001209765902	0.1512437353
38	140	2	108214.5827	91528.58793	0	0.07411243448	0.116490741
38	12	2	26285.67709	80528.76221	0	0.006098465041	0.1359090351
38	129	2	84648.27445	93819.209	0	0.04139808325	0.1236449457
38	170	2	26687.67244	83275.91746	0	0.001294208031	0.1406188045
38	46	2	102767.402	81052.64731	0	0.2128926846	0.1055762508
38	130	2	103788.0328	82916.71	0	0.1200501308	0.107304646
38	25	2	101513.6073	78862.25695	0	0.09066075605	0.1002465077
38	141	2	100256.5629	76605.9811	0	0.1534706272	0.0979762375
38	57	2	99941.65328	76100.6669	0	0.08908481997	0.09604932754
38	56	2	106026.2834	87099.8382	0	0.09206995814	0.1129816604
38	15	2	22056.98991	53016.10164	0	0.01852655148	0.09095127631
38	139	2	26243.96302	80256.70364	0	0.01519391711	0.1399683493
38	45	2	26023.62844	78761.38733	0	0.02065957385	0.1361388026
38	36	2	99428.7116	75133.93913	0	0.1435756929	0.09613095857
38	47	2	96634.19916	70839.56859	0	0.07472432212	0.09204396381
38	35	2	107026.6045	88819.6052	0	0.1124210851	0.1151536989
38	151	2	35447.96272	65480.01187	0	0.04151592004	0.1055306291
38	191	2	26014.65214	78672.4943	0	0.0001972177109	0.1317029848
38	23	2	26015.73295	78680.18305	0	0.01498103977	0.1348595108
38	26	2	78280.89885	66926.29941	0	0.04242899607	0.0872396049
38	131	2	95227.89722	67704.32427	0	0.1832700591	0.09000097135
38	55	2	106001.7676	87661.79216	0	0.07795889962	0.1215179656
38	34	2	102059.7822	79667.93239	0	0.1471593792	0.1187588492
38	24	2	44113.68928	55100.15723	0	0.03672199155	0.1163784997
38	201	4	0	0	1200	0	0
38	202	4	0	0	1200	0	0
38	203	4	0	0	1200	0	0
38	204	4	0	0	1200	0	0
38	205	4	0	0	1200	0	0

39	2	1	15344.62433	9234.196948	0	0.005875065215	0.1239892414
39	3	1	14670.56522	7318.035499	0	0.01034675911	0.1078126597
39	4	1	14267.46959	6519.641299	0	0.01064452472	0.09618433134
39	5	1	13880.32445	5898.854447	0	0.008188246397	0.0829980151
39	6	1	13615.8685	5528.976447	0	0.005236348489	0.07531972464
39	7	1	13391.92693	5242.84964	0	0.002701040684	0.06872494908
39	8	1	13210.74742	5027.173767	0	0.001194343971	0.06294734537
39	9	1	13079.32385	4878.309591	0	0.0004367941959	0.05856091694
39	10	1	12994.20049	4785.224134	0	0.0001545348827	0.05539404768
39	11	1	12952.14634	4739.777548	0	5.489215661e-05	0.05392406061
39	13	1	15032.76798	8231.640612	0	0.01454172012	0.1186682241
39	14	1	14892.4467	6964.932387	0	0.02938949212	0.1016020322
39	16	1	13848.2992	5852.535965	0	0.0144603422	0.08256040407
39	17	1	13567.09792	5464.192689	0	0.006170783399	0.07346688419
39	18	1	13332.07665	5170.153171	0	0.002601298053	0.06638409262
39	19	1	13168.25303	4977.952794	0	0.001012031201	0.06153007207
39	20	1	13046.35688	4842.08164	0	0.000354541756	0.05765651495
39	21	1	12974.36741	4763.614005	0	0.000108838531	0.0547115035
39	22	1	12945.19139	4732.372619	0	5.248125309e-05	0.05383990533
39	27	1	13740.04308	5696.942985	0	0.01565465207	0.07895134985
39	28	1	13483.09705	5356.016124	0	0.006109089096	0.07235349104
39	29	1	13273.30876	5099.677635	0	0.002243757518	0.06510071106
39	30	1	13113.47055	4916.452959	0	0.0007347862424	0.05988351856
39	31	1	13010.23194	4802.432886	0	0.0002166069585	0.05537811546
39	32	1	12952.79011	4740.35643	0	6.328793701e-05	0.05442954498
39	37	1	34104.85241	7996.024235	0	0.03853592607	0.08523965991
39	38	1	13615.75375	5528.38585	0	0.01164704518	0.07560253503
39	39	1	13370.16212	5216.073402	0	0.003864647095	0.0675844659
39	40	1	13186.08282	4999.073361	0	0.00130610266	0.06226961699
39	41	1	13059.12759	4856.163102	0	0.0004419934343	0.05809786764
39	42	1	12981.80033	4772.160691	0	0.0001517494835	0.05553387661
39	43	1	12948.39785	4736.146877	0	8.05492495e-05	0.05440313193
39	48	1	13761.84017	5725.200353	0	0.02148420362	0.07998467132
39	49	1	13482.32488	5356.451471	0	0.007442284711	0.07245754858
39	50	1	13263.73098	5088.931862	0	0.002229541218	0.06481560778
39	51	1	13105.26931	4907.403269	0	0.0008381352796	0.05971514519
39	52	1	12999.68559	4791.208501	0	0.000290044965	0.05614753971
39	53	1	12951.31283	4739.130881	0	0.0001577511112	0.05406002039
39	58	1	15141.06156	6217.39003	0	0.03248099813	0.08601229405
39	59	1	13613.60284	5525.735737	0	0.01110509658	0.07519858724
39	60	1	13364.81719	5208.996214	0	0.004486758619	0.06698186871
39	61	1	13175.85146	4986.910708	0	0.002234577322	0.06167127215
39	62	1	13050.69012	4846.686612	0	0.001042016903	0.05818116773
39	63	1	12982.3416	4772.48165	0	0.0005775928116	0.05495909762
39	64	1	12946.64796	4734.090943	0	0.000314527813	0.05432247738
39	66	1	15133.48062	8515.425554	0	0.01477114153	0.1196793718
39	67	1	20193.80752	7292.520583	0	0.04097684978	0.1026964783
39	68	1	14095.53766	6222.413871	0	0.02255253982	0.09015696232
39	69	1	13766.54974	5732.779484	0	0.01837199743	0.08022955449
39	70	1	13471.21084	5341.679408	0	0.01660361838	0.07112736787
39	71	1	13249.32255	5072.854856	0	0.01256970561	0.06459876105
39	72	1	13109.46006	4911.824425	0	0.00499460484	0.05953374481
39	73	1	13015.95626	4808.567793	0	0.002097519225	0.05649603111
39	74	1	12953.16851	4741.185276	0	0.0007600712334	0.05407206672
39	76	1	15604.521	10176.3215	0	0.00373915678	0.1273356584
39	77	1	14741.73687	7475.117564	0	0.008449151626	0.1095016562
39	78	1	14243.9316	6483.018529	0	0.01202812125	0.09578496786
39	79	1	13889.83694	5903.498207	0	0.02523220302	0.08304346248
39	80	1	55146.26667	6158.072856	0	0.08576378445	0.07443427243
39	81	1	55693.66956	6139.705721	0	0.08169098976	0.06693707716
39	82	1	13468.04358	5008.41493	0	0.03005999682	0.06268392774
39	83	1	13065.30756	4862.882056	0	0.009364005945	0.05887391273
39	84	1	12984.41695	4774.453617	0	0.00259887679	0.05509824269
39	85	1	12948.047	4735.520128	0	0.001108563245	0.05436034572
39	87	1	15069.35206	8304.205674	0	0.003009395467	0.1196594449
39	88	1	14466.16155	6890.313912	0	0.005790140614	0.09955568599
39	89	1	14040.88915	6142.350702	0	0.01618628279	0.08780087731
39	90	1	58012.75187	7612.304307	0	0.07646201494	0.07777330725
39	91	1	57503.90513	6972.805633	0	0.1183710903	0.07051893523
39	92	1	56369.89417	6436.045598	0	0.08479518985	0.0652169979
39	93	1	13125.2202	4927.592013	0	0.02319028401	0.06037248238
39	94	1	13018.69873	4812.038049	0	0.005966095381	0.05671626928
39	95	1	12952.36021	4740.091987	0	0.001672680349	0.05501639949
39	97	1	15499.80495	9852.357849	0	0.003300807491	0.1258499395
39	98	1	14680.47934	7338.474918	0	0.003987398934	0.1082457489
39	99	1	14241.65319	6474.421068	0	0.008682456091	0.0944502471
39	100	1	13899.92729	5900.567474	0	0.02391324269	0.08553464727
39	101	1	55051.36373	7296.360514	0	0.04652401902	0.07532964297
39	102	1	56113.63722	6658.826753	0	0.05059685354	0.06851238749
39	103	1	13660.1629	5034.736657	0	0.02836852932	0.06216839077
39	104	1	13063.42927	4860.59306	0	0.008879155877	0.05770177877
39	105	1	12983.09007	4773.165188	0	0.003215488917	0.05606205974
39	106	1	12944.96158	4732.059207	0	0.001397887669	0.05389320111
39	108	1	14903.55358	7889.272838	0	0.00744405388	0.1131923555
39	109	1	14420.58885	6801.738391	0	0.01163510174	0.1005904826
39	110	1	14088.06329	6217.788844	0	0.01611829411	0.08927336216
39	111	1	13779.86195	5724.992466	0	0.02530684721	0.08014308042
39	112	1	13806.85231	5381.259476	0	0.02845451562	0.07156631656
39	113	1	13280.96509	5106.540244	0	0.01969291621	0.06456559599
39	114	1	13127.33642	4932.541277	0	0.01070843714	0.06051642775
39	115	1	13014.69748	4807.618681	0	0.00373318499	0.05616870807
39	116	1	12952.99031	4740.912237	0	0.001304550512	0.05454388542
39	118	1	15327.09651	9161.499808	0	0.01268296061	0.1234189422
39	119	1	14769.81159	7278.416029	0	0.02895757179	0.1074809869
39	120	1	61762.11662	9936.767458	0	0.07002218834	0.09871238537
39	121	1	25754.20182	6249.020089	0	0.04107185467	0.08666113396
39	122	1	18405.11453	5701.987675	0	0.04124943095	0.07639419544
39	123	1	13388.26966	5220.995708	0	0.02563906129	0.06761219516
39	124	1	13192.03806	5006.274491	0	0.01020662699	0.06111864034
39	125	1	13066.61036	4864.196549	0	0.004379786187	0.05817878851
39	126	1	12981.13108	4770.89974	0	0.001721335282	0.05554237537
39	127	1	12945.41011	4732.892822	0	0.000790237317	0.05482059477
39	132	1	59538.98479	8251.272239	0	0.1326562983	0.08081314689
39	133	1	57745.40434	7102.801881	0	0.1043334565	0.07354659765
39	134	1	13327.46047	5142.340981	0	0.02344172418	0.0652599522
39	135	1	13132.32529	4937.086553	0	0.006603003073	0.06004917164
39	136	1	13016.33605	4809.319834	0	0.002079579578	0.05651368798
39	137	1	12955.78812	4744.131084	0	0.0007347649325	0.05417027767
39	142	1	61889.9473	10391.99172	0	0.1263371201	0.0864552358
39	143	1	58608.85704	7592.284735	0	0.1538667518	0.07850491115
39	144	1	29515.2082	6202.794779	0	0.04361614188	0.06924607541
39	145	1	13211.25868	5027.790361	0	0.0123275361	0.06305979735
39	146	1	13065.87552	4863.059531	0	0.003223859494	0.05813824836
39	147	1	12987.1828	4777.464063	0	0.0009559156428	0.0554857263
39	148	1	12947.12894	4734.572184	0	0.0004257313503	0.05385510266
39	150	1	15053.74024	8290.852443	0	0.01345489586	0.1178356529
39	152	1	14960.32619	6183.685426	0	0.03157848756	0.08937684106
39	153	1	24665.82407	5924.178793	0	0.04232192617	0.08006432696
39	154	1	13542.67141	5384.105748	0	0.02627617272	0.07216924081
39	155	1	13288.21817	5117.671844	0	0.01194176901	0.06530815164
39	156	1	13125.14918	4930.227449	0	0.004411667164	0.06092915693
39	157	1	13016.59639	4810.033755	0	0.001240265263	0.05673890109
39	158	1	12954.55495	4742.979328	0	0.000360030253	0.05408820712
39	160	1	15645.40343	10480.21845	0	0.004001978066	0.1254753053
39	161	1	14625.83281	7222.578449	0	0.008741192219	0.1074736399
39	162	1	14223.25636	6445.513745	0	0.01147999729	0.09571389378
39	163	1	13865.45645	5876.71633	0	0.009432081414	0.08471770522
39	164	1	13587.12182	5491.669528	0	0.009548602815	0.07381271104
39	165	1	13363.01063	5207.865083	0	0.00673969812	0.06804305101
39	166	1	13193.5076	5007.30049	0	0.003085759497	0.06179329042
39	167	1	13068.67933	4866.924941	0	0.00122431972	0.05737414074
39	168	1	12982.75078	4772.934862	0	0.0003973986192	0.05555542292
39	169	1	12947.0007	4734.661114	0	0.0001788475838	0.05434818898
39	171	1	14959.20219	8019.850576	0	0.001865921079	0.11692366
39	172	1	14451.32855	6861.683807	0	0.002695383119	0.1021457388
39	173	1	14050.10215	6158.648909	0	0.002910091046	0.08958709462
39	174	1	13734.1097	5688.733897	0	0.003014816164	0.07866693443
39	175	1	13477.75247	5349.86413	0	0.002534475204	0.07181260868
39	176	1	13268.32475	5095.305678	0	0.001732600506	0.06562736113
39	177	1	13124.67727	4929.255918	0	0.0006988478509	0.05952417751
39	178	1	13019.3904	4812.967361	0	0.0003036286571	0.05617899055
39	179	1	12956.52462	4744.906617	0	0.0001100428071	0.05459837753
39	181	1	15347.93293	9236.969827	0	0.0005412561676	0.124873297
39	182	1	14664.86849	7305.471235	0	0.0007114097249	0.108222913
39	183	1	14250.7676	6493.227077	0	0.0009183329318	0.09567674161
39	184	1	13895.35493	5920.530433	0	0.0008322057898	0.08455111241
39	185	1	13597.32804	5504.141414	0	0.0008260404083	0.07568430952
39	186	1	13377.4433	5224.883281	0	0.0006248558609	0.06829081132
39	187	1	13194.77321	5008.739529	0	0.0003860924318	0.06234188819
39	188	1	13061.84049	4858.819387	0	0.0001514650644	0.05738548443
39	189	1	12983.80167	4774.038129	0	7.476010661e-05	0.05544905669
39	190	1	12946.48911	4734.1196	0	4.120473736e-05	0.0543273857
39	192	1	14933.02354	7949.857703	0	0.0002392756329	0.1164875068
39	193	1	14443.5927	6847.026122	0	0.0002875139738	0.101790088
39	194	1	14079.11624	6205.069672	0	0.0003055948745	0.09037908304
39	195	1	13762.16896	5728.974957	0	0.0002863090906	0.07989834335
39	196	1	13487.1705	5360.879745	0	0.0002400605043	0.07130774416
39	197	1	13283.81809	5112.342148	0	0.0001753081642	0.06427940276
39	198	1	13124.16234	4928.288566	0	0.0001015910151	0.06011431384
39	199	1	13014.57205	4807.322212	0	4.393867786e-05	0.05640277999
39	200	1	12954.36992	4742.469633	0	2.062943778e-05	0.05497793354
39	138	2	28092.25821	93153.02651	0	0.004914568665	0.1607079646
39	75	2	28439.90941	95650.12149	0	0.001153821156	0.169778291
39	159	2	28908.7865	99041.33921	0	0.0009194374315	0.1768303989
39	54	2	28730.92372	97750.37648	0	0.00176971008	0.1746044701
39	96	2	28457.7492	95739.20032	0	0.001144684179	0.1660667493
39	117	2	27785.05433	90976.65913	0	0.00341929501	0.158950856
39	1	2	27604.4621	89673.00728	0	0.001587439547	0.154792667
39	33	2	27782.7058	90987.29204	0	0.003123105369	0.1584797418
39	149	2	26933.74068	84999.00019	0	0.004413699565	0.146726433
39	180	2	27746.60587	90680.90731	0	0.0003052345553	0.1557297542
39	107	2	26637.2049	82938.33733	0	0.003184336511	0.141193532
39	128	2	26654.71284	83062.8648	0	0.01291197098	0.144533355
39	44	2	27573.16027	89477.92385	0	0.0050481433	0.1550213755
39	65	2	26686.25788	83274.41693	0	0.006302690869	0.1399874989
39	86	2	27232.37624	87071.3786	0	0.001403668018	0.1495800042
39	140	2	107081.5741	92181.54684	0	0.04965232273	0.1205209515
39	12	2	26322.78525	80796.05677	0	0.005710186179	0.1389398562
39	129	2	44670.86024	87463.3485	0	0.03413788803	0.1223863695
39	170	2	26654.93156	83058.82489	0	0.001496721748	0.1428556833
39	46	2	103014.4827	81533.05103	0	0.2062605936	0.1086372392
39	130	2	104046.1317	83335.57441	0	0.1394599553	0.103124345
39	25	2	101612.1924	79109.16443	0	0.1018670356	0.1024618353
39	141	2	100493.9032	77010.93371	0	0.1316885569	0.09964362389
39	57	2	100013.4675	76207.83851	0	0.1009721139	0.09518854211
39	56	2	106528.0873	88174.39123	0	0.06875175887	0.1161522083
39	15	2	22002.84609	52689.35148	0	0.01603794821	0.09064801269
39	139	2	26394.94968	81292.77242	0	0.01318844347	0.1401610527
39	45	2	26156.44148	79629.47977	0	0.02414902804	0.1352919767
39	36	2	99491.41145	75230.78505	0	0.1211130429	0.09537988894
39	47	2	96842.70217	71027.94406	0	0.09166719798	0.09238448136
39	35	2	107732.7646	90171.0034	0	0.1261856217	0.1186873681
39	151	2	37256.04275	65899.05831	0	0.03866005874	0.1045593234
39	191	2	26021.3474	78745.59912	0	0.0002032751896	0.1371752259
39	23	2	26090.17829	79202.94263	0	0.01554553033	0.1380024821
39	26	2	45667.58823	63311.93635	0	0.03910468662	0.08900580152
39	131	2	95882.30436	68951.37482	0	0.1888406651	0.09187497675
39	55	2	108432.1939	92917.61118	0	0.04961131957	0.1290217183
39	34	2	105663.7104	86213.98987	0	0.161768156	0.1152145905
39	24	2	28079.81826	63655.91427	0	0.03091894043	0.1191976353
39	201	4	0	0	1200	0	0
39	202	4	0	0	1200	0	0
39	203	4	0	0	1200	0	0
39	204	4	0	0	1200	0	0
39	205	4	0	0	1200	0	0

40	2	1	15357.28913	9263.470779	0	0.005242593041	0.125868
40	3	1	14672.80521	7320.422029	0	0.00895336567	0.1094184115
40	4	1	14273.17942	6528.895459	0	0.009435088111	0.09532459953
40	5	1	13883.45737	5902.384482	0	0.007346153836	0.0832809909
40	6	1	13615.05462	5527.856823	0	0.004736920892	0.07599882047
40	7	1	13390.1781	5241.644975	0	0.002519629695	0.06843874135
40	8	1	13207.04034	5023.227414	0	0.001106350817	0.06303746397
40	9	1	13076.65438	4875.80998	0	0.0004440929355	0.05881692364
40	10	1	12992.99379	4783.81357	0	0.0001529944107	0.0554184672
40	11	1	12949.6924	4737.16626	0	5.68885874e-05	0.05441925233
40	13	1	15025.85049	8210.963193	0	0.0136494667	0.1189363653
40	14	1	14525.00151	6884.776336	0	0.02392839548	0.101651403
40	16	1	13849.03894	5853.566886	0	0.01466175943	0.08360141743
40	17	1	13567.4937	5465.017285	0	0.006024898714	0.0741479811
40	18	1	13335.23094	5173.63137	0	0.002403852268	0.06708545241
40	19	1	13167.35562	4977.129525	0	0.0009230438515	0.06144730949
40	20	1	13044.65629	4839.666082	0	0.0003103413583	0.05743540654
40	21	1	12972.47859	4761.843324	0	0.0001083904835	0.05471772874
40	22	1	12944.55538	4731.871828	0	5.329522794e-05	0.05430740173
40	27	1	13739.84854	5698.620993	0	0.01567290747	0.08100132353
40	28	1	13482.74909	5355.415554	0	0.005369046437	0.07152102141
40	29	1	13274.6535	5101.284411	0	0.001952070677	0.06484610232
40	30	1	13114.64122	4918.009037	0	0.0006928636329	0.05988118724
40	31	1	13008.86936	4800.936932	0	0.0002068996014	0.05581073388
