"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).l_5"
197297	550340	1753.75	814.614	68.6733	68673.3	167.618	7993.05	7460.18	89522.1	0.0372068	0.09
190689	18447.9	15309.1	153.823	247.208	247208	294.583	5572.7	5201.18	62414.2	0.052706	0.09
194639	54892.9	11255.9	327.626	153.769	153769	274.705	6292.48	5872.98	70475.8	0.0472405	0.09
216636	179818	5682.12	538.912	95.3749	95374.9	214.766	7054.22	6583.94	79007.3	0.0422854	0.09
204150	591311	1620.38	851.143	67.8972	67897.2	166.299	8052.93	7516.07	90192.8	0.0369171	0.09
191673	509814	1909.89	779.435	69.5996	69599.6	169.224	7928	7399.46	88793.5	0.0375259	0.09
176982	4837.65	19765	52.0651	383.972	383972	286.662	4586.18	4280.43	51365.2	0.0615136	0.09
228787	706456	1333.7	956.651	66.2856	66285.6	163.671	8198.03	7651.49	91817.9	0.0362307	0.09
178455	4968.88	19581.8	53.0161	379.582	379582	287.199	4623.33	4315.11	51781.3	0.0611548	0.09
194542	531587	1822.6	798.198	69.0796	69079.6	168.318	7963.73	7432.81	89193.8	0.0373501	0.09
226450	696869	1353.92	947.784	66.3964	66396.4	163.846	8186.95	7641.15	91693.8	0.0362824	0.09
169504	4262.12	20700.2	47.8456	404.228	404228	283.91	4404.16	4110.55	49326.5	0.0633004	0.09
173664	4565.52	20178.6	50.0819	393.366	393366	285.445	4504.09	4203.82	50445.8	0.0623135	0.09
185912	450169	2199.71	730.078	71.3619	71361.9	172.35	7819.34	7298.05	87576.6	0.0380692	0.09
207066	223604	4711.85	574.106	88.1785	88178.5	202.742	7213.91	6732.98	80795.8	0.0413461	0.09
192771	518481	1874.13	786.863	69.3859	69385.9	168.851	7942.45	7412.95	88955.4	0.0374546	0.09
199681	255112	4147.25	595.303	84.1857	84185.7	195.711	7318.91	6830.98	81971.8	0.0407461	0.09
197348	60100.1	10818.8	343.472	147.348	147348	270.953	6354.38	5930.75	71169	0.0468071	0.09
171275	4386.8	20477.5	48.7685	399.722	399722	284.564	4446.33	4149.91	49798.9	0.0628822	0.09
205484	76604.8	9646.29	386.555	132.283	132283	259.851	6513.1	6078.89	72946.7	0.0457214	0.09
209878	87007.5	9037.09	409.53	125.45	125450	253.574	6593.13	6153.58	73843	0.0451877	0.09
202776	241594	4377.45	586.459	85.798	85798	198.576	7274.76	6789.78	81477.3	0.0409967	0.09
162588	3827.29	21580.6	44.5693	420.26	420260	281.353	4244.49	3961.52	47538.3	0.0649055	0.09
177080	4846.12	19752.8	52.1266	383.686	383686	286.698	4588.62	4282.72	51392.6	0.0614899	0.09
219838	668507	1417.03	921.603	66.7452	66745.2	164.402	8153.27	7609.72	91316.6	0.0364401	0.09
190614	18523.3	15300.5	154.361	246.936	246936	294.575	5574.56	5202.92	62435.1	0.0526908	0.09
175620	4722.26	19934.6	51.2262	387.91	387910	286.164	4552.22	4248.73	50984.8	0.0618434	0.09
228560	705533	1335.62	955.797	66.2961	66296.1	163.688	8196.97	7650.5	91806	0.0362357	0.09
183006	5427.11	19014.2	56.3214	365.07	365070	288.838	4741.5	4425.4	53104.8	0.0600271	0.09
196053	57612.5	11023	336.065	150.286	150286	272.735	6325.7	5903.98	70847.8	0.0470072	0.09
203931	236699	4465.16	583.176	86.4179	86417.9	199.669	7258.45	6774.55	81294.6	0.0410899	0.09
215572	649096	1463.4	903.75	67.0042	67004.2	164.821	8129.33	7587.38	91048.5	0.036553	0.09
192157	50040.7	11698.3	311.578	160.81	160810	278.252	6227.72	5812.54	69750.5	0.0476999	0.09
217013	177623	5737.57	536.87	95.8007	95800.7	215.447	7045.69	6575.98	78911.7	0.0423365	0.09
218428	168302	5981.5	527.816	97.6948	97694.8	218.435	7008.78	6541.53	78498.4	0.0425587	0.09
208068	612282	1559.74	870.117	67.5494	67549.4	165.718	8081.64	7542.86	90514.3	0.0367796	0.09
188946	43239.1	12380.7	286.525	172.909	172909	283.171	6122.68	5714.5	68574	0.0484585	0.09
219782	129013	7195.6	481.191	107.705	107705	232.986	6836.47	6380.71	76568.5	0.04362	0.09
202874	584147	1642.2	844.699	68.0231	68023.1	166.511	8042.84	7506.65	90079.8	0.0369656	0.09
196820	59085.5	10901.1	340.485	148.519	148519	271.677	6342.87	5920.01	71040.1	0.0468873	0.09
188797	20586.2	15062.3	168.724	239.483	239483	294.297	5625.71	5250.66	63008	0.0522761	0.09
230839	714707	1316.7	964.286	66.1929	66192.9	163.526	8207.44	7660.28	91923.3	0.0361869	0.09
207744	220776	4767.52	572.082	88.5794	88579.4	203.435	7204.11	6723.84	80686.1	0.0414028	0.09
220087	150743	6482.58	508.851	101.7	101700	224.512	6935.68	6473.3	77679.6	0.0430041	0.09
195520	538444	1796.79	804.175	68.9269	68926.9	168.054	7974.6	7442.96	89315.5	0.0372968	0.09
188314	41737.2	12541.5	280.518	176.007	176007	284.224	6096.86	5690.41	68284.9	0.0486475	0.09
193269	52236.5	11493.7	319.008	157.481	157481	276.644	6257.96	5840.77	70089.2	0.0474846	0.09
