"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).PM0_5"
209437	84400.9	9195.01	404.63	117.399	117399	237.394	6113.15	5705.6	68467.2	0.0445145	54000
193906	52272.2	11510.7	319.743	141.343	141343	258.946	5852.41	5462.25	65547	0.0463873	54000
207895	610711	1565.42	868.929	65.1677	65167.7	156.647	7634.21	7125.26	85503.1	0.035662	54000
210618	87394.6	9028.49	410.938	115.916	115916	235.71	6131.89	5723.1	68677.2	0.0443843	54000
185335	5679.68	18756	58.177	301.382	301382	285.867	4735.45	4419.75	53037	0.0558096	54000
180028	5104.71	19413.1	54.026	320.772	320772	284.832	4611.69	4304.24	51650.9	0.0570001	54000
225826	693756	1361.65	945.12	64.1971	64197.1	155.401	7757.83	7240.64	86887.6	0.0350768	54000
200668	65364.2	10429.2	358.899	129.287	129287	249.353	5975.14	5576.8	66921.6	0.0454912	54000
183402	5453.69	18996.4	56.5469	308.558	308558	285.524	4690.01	4377.35	52528.2	0.0562432	54000
216789	654153	1452.21	908.62	64.6207	64620.7	155.925	7700.72	7187.34	86248.1	0.0353449	54000
194448	529898	1830.7	796.997	66.5135	66513.5	158.584	7496.29	6996.54	83958.5	0.0363361	54000
199576	63221.6	10591	353.011	130.982	130982	250.846	5956.99	5559.86	66718.3	0.0456221	54000
209296	84055	9214.67	403.887	117.575	117575	237.592	6110.94	5703.54	68442.5	0.0445299	54000
188521	40732.3	12674.8	276.956	156.657	156657	268.111	5713.83	5332.91	63994.9	0.0474308	54000
195599	55550.6	11217.9	330.324	137.9	137900	256.442	5886.03	5493.63	65923.6	0.0461392	54000
192180	512718	1899.45	782.191	66.8747	66874.7	159.134	7464.05	6966.45	83597.3	0.036497	54000
200730	65486.8	10420.1	359.23	129.193	129193	249.269	5976.16	5577.75	66933	0.0454839	54000
199068	62233.5	10667.5	350.234	131.795	131795	251.545	5948.39	5551.83	66621.9	0.0456844	54000
199795	63649.8	10558.2	354.202	130.636	130636	250.546	5960.67	5563.29	66759.5	0.0455956	54000
197662	59515.7	10884.2	342.384	134.144	134144	253.502	5923.95	5529.02	66348.2	0.0458618	54000
220127	669235	1416.46	922.494	64.4519	64451.9	155.712	7722.83	7207.97	86495.7	0.0352407	54000
195476	537170	1803.11	803.327	66.3698	66369.8	158.369	7509.6	7008.96	84107.6	0.0362701	54000
197572	59343.6	10898.3	341.876	134.299	134299	253.627	5922.36	5527.54	66330.4	0.0458734	54000
205229	232694	4543.19	580.886	82.6751	82675.1	186.518	6734.24	6285.29	75423.5	0.0404996	54000
198284	262907	4026.12	600.707	79.3873	79387.3	180.713	6832.82	6377.3	76527.6	0.0399163	54000
217850	659013	1440.51	913.086	64.5652	64565.2	155.854	7707.9	7194.04	86328.4	0.035311	54000
