"# Values[S].InitialValue"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"(R21 - production I).l_5"
210515	88919.5	8931.82	413.379	125.918	125918	255.264	6680.29	6234.94	74819.3	0.0452253	0.1
177405	4875.22	19710.8	52.3361	387.475	387475	286.986	4599.75	4293.1	51517.2	0.0618066	0.1
194009	282571	3729.04	612.618	82.0351	82035.1	193.042	7502.61	7002.44	84029.3	0.0403914	0.1
201752	245729	4304.41	589.116	86.0628	86062.8	200.252	7383.9	6891.64	82699.7	0.0410367	0.1
167339	4117.99	20972.9	46.7697	413.337	413337	283.213	4355.07	4064.73	48776.7	0.0641881	0.1
232627	721888	1301.97	970.883	66.6351	66635.1	165.415	8316.94	7762.48	93149.8	0.0363911	0.1
215440	104325	8178.95	442.49	118.098	118098	247.066	6782.71	6330.53	75966.3	0.0445752	0.1
208419	83591.6	9225.96	402.184	129.192	129192	258.346	6640.2	6197.52	74370.2	0.0454838	0.1
190574	500880	1947.86	771.778	70.4118	70411.8	171.838	8016.21	7481.79	89781.5	0.0377856	0.1
180619	5176.68	19310.5	54.5154	377.922	377922	288.184	4682.42	4370.26	52443.2	0.0610213	0.1
203704	72972.8	9877.9	377.759	136.964	136964	264.903	6550.39	6113.7	73364.4	0.0460708	0.1
192239	292613	3591.72	618.924	81.093	81093	191.331	7533.23	7031.01	84372.2	0.0402276	0.1
197377	551065	1750.85	815.195	69.2237	69223.7	169.751	8097.48	7557.64	90691.7	0.0373996	0.1
198480	62463.5	10629.6	350.164	146.975	146975	271.93	6443.92	6014.32	72171.9	0.0467815	0.1
201328	68084.4	10212.7	365.405	141.27	141270	268.109	6503.46	6069.9	72838.8	0.0463821	0.1
213595	97895.8	8477.31	430.883	121.108	121108	250.365	6742.08	6292.61	75511.3	0.0448314	0.1
194369	530574	1826.12	797.258	69.6745	69674.5	170.538	8065.51	7527.81	90333.8	0.0375506	0.1
215602	104945	8151.25	443.571	117.824	117824	246.756	6786.49	6334.05	76008.7	0.0445515	0.1
207546	221328	4755.72	572.398	89.3186	89318.6	205.921	7299.53	6812.89	81754.7	0.0415058	0.1
183101	5438.87	19000.1	56.4038	370.043	370043	289.102	4748.16	4431.62	53179.4	0.0604041	0.1
196756	59134.8	10894.4	340.54	150.818	150818	274.252	6405.31	5978.29	71739.5	0.0470432	0.1
203811	236941	4459.96	583.259	87.1749	87174.9	202.207	7354.07	6863.8	82365.6	0.0412016	0.1
210803	626297	1521.36	882.825	67.8769	67876.9	167.45	8202.87	7656.01	91872.2	0.0369092	0.1
