"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).n_6"
0.136163	204875	5114.78	561.719	75.3724	75372.4	157.584	5419.54	5058.24	60698.9	0.039089	0.136163	20780.4	212811	3
0.0276683	4708.73	19944.1	51.1019	538.346	538346	288.867	4593.76	4287.51	51450.2	0.107947	0.0276683	17121	175335	3
0.192093	109562	8035.02	456.331	60.0112	60011.2	97.8079	2710.61	2529.9	30358.8	0.02324	0.192093	21638.7	221601	3
0.0648259	18479.1	15271.6	153.685	521.463	521463	310.263	5878.58	5486.67	65840.1	0.0888042	0.0648259	18550.6	189976	3
0.197997	113047	7885.76	461.946	60.0059	60005.9	98.3265	2752.09	2568.62	30823.4	0.0222987	0.197997	21701	222239	3
0.173394	181992	5667.93	544.241	60.1064	60106.4	108.087	3554.21	3317.27	39807.2	0.0269338	0.173394	21411.4	219274	3
0.0589249	43775.8	12261.1	287.006	527.286	527286	330.444	7187.46	6708.29	80499.5	0.0931852	0.0589249	18308.5	187497	3
0.0607101	520835	1807.69	779.638	525.746	525746	518.259	24562.3	22924.8	275097	0.0918982	0.0607101	18382	188250	3
0.136878	83956.8	9300.46	407.416	74.0293	74029.3	129.707	3318.82	3097.57	37170.8	0.038774	0.136878	20795.3	212964	3
0.0557254	23483.8	14676.7	187.223	529.649	529649	313.841	6099.73	5693.08	68316.9	0.0953957	0.0557254	18176.7	186146	3
0.0358431	4951.39	19594	52.8603	537.199	537199	290.185	4669.47	4358.17	52298.1	0.105642	0.0358431	17393.5	178127	3
0.114177	87515.3	8952.7	407.855	212.761	212761	333.73	8722.51	8141.01	97692.1	0.0507838	0.114177	20254.8	207429	3
0.146491	86685.8	9162.89	414.041	63.9251	63925.1	103.715	2676.01	2497.61	29971.3	0.0348921	0.146491	20984.2	214898	3
0.0997456	78202.4	9473.69	387.047	373.722	373722	352.529	8926.96	8331.83	99982	0.0606891	0.0997456	19832.1	203100	3
0.00967758	4395.23	20452.9	48.809	539.21	539210	287.01	4488.16	4188.95	50267.4	0.10991	0.00967758	16726	171290	3
0.0946657	224141	4627.77	567.504	416.985	416985	431.585	15468.3	14437.1	173245	0.0645611	0.0946657	19667.6	201415	3
0.0650111	49778.2	11655.8	308.705	521.243	521243	335.288	7520.83	7019.45	84233.3	0.0886613	0.0650111	18558.1	190053	3
0.12576	86310.4	9093.17	408.92	113.002	113002	229.229	5939.67	5543.69	66524.3	0.0441219	0.12576	20548.4	210435	3
0.0518071	308183	3321.35	620.459	531.966	531966	468.14	18918.4	17657.1	211886	0.0979146	0.0518071	18015.7	184498	3
0.111271	86144.7	9020.81	404.696	245.972	245972	343.172	8931.69	8336.24	100035	0.0526372	0.111271	20174.9	206611	3
0.0020708	4353.41	20526.1	48.5009	539.247	539247	286.748	4473.38	4175.15	50101.8	0.109999	0.0020708	16669.4	170711	3
0.129171	204136	5108.2	559.104	96.1347	96134.7	223.102	7677	7165.2	85982.4	0.0423763	0.129171	20627.6	211247	3
0.112125	86595.4	8997.69	405.711	236.048	236048	340.909	8885.42	8293.06	99516.7	0.052085	0.112125	20198.7	206854	3
0.169385	97534.9	8594.03	435.452	60.1788	60178.8	96.3207	2574.63	2402.99	28835.8	0.0278946	0.169385	21356	218706	3
0.0309784	4799.32	19809.2	51.7597	537.963	537963	289.371	4622.63	4314.45	51773.4	0.107142	0.0309784	17226	176410	3
0.102009	79905.5	9371.09	390.899	351.232	351232	352.441	8979.69	8381.05	100573	0.0590235	0.102009	19902.8	203823	3
0.0858747	67357.9	10192.9	360.747	469.068	469068	347.932	8449.2	7885.92	94631	0.0716142	0.0858747	19363.7	198303	3
0.0213369	4564.05	20170.4	50.0473	538.843	538843	288.033	4546.15	4243.07	50916.9	0.109048	0.0213369	16945	173533	3
0.122181	87793.8	8980.88	410.514	136.782	136782	272.149	7100.64	6627.26	79527.1	0.0460575	0.122181	20461.8	209549	3
0.107602	83891.7	9141.97	399.724	289.063	289063	349.402	9026.58	8424.81	101098	0.0550813	0.107602	20070.4	205540	3
0.140338	84610.5	9272.47	409.272	68.9431	68943.1	116.247	2979.45	2780.82	33369.8	0.0373025	0.140338	20865.8	213686	3
0.0929547	72956.4	9806.91	374.747	429.265	429265	350.982	8714.84	8133.85	97606.2	0.0659029	0.0929547	19610.3	200829	3
0.0263603	4675.77	19994.4	50.8621	538.472	538472	288.681	4583.08	4277.54	51330.5	0.108219	0.0263603	17081.8	174934	3
0.0635739	48434.9	11786.1	304.065	522.885	522885	334.221	7446.64	6950.2	83402.4	0.0897625	0.0635739	18499.5	189452	3
0.223526	687513	1377.18	939.745	60.0005	60000.5	139.914	6971.77	6506.99	78083.8	0.019136	0.223526	21928.6	224570	3
0.005014	4363.17	20508.9	48.5729	539.242	539242	286.81	4476.84	4178.39	50140.6	0.109988	0.005014	16682.7	170847	3
0.128569	85088	9186.26	407.511	98.7347	98734.7	195.91	5047.58	4711.07	56532.9	0.0426774	0.128569	20613.9	211106	3
0.0688167	266863	3886.64	594.993	516.096	516096	452.308	17322.7	16167.8	194014	0.0856664	0.0688167	18712	191629	3
0.105115	82172.5	9238.8	395.942	317.628	317628	351.41	9025.17	8423.49	101082	0.0568028	0.105115	19997.1	204789	3
0.116681	88233.9	8923	409.765	186.006	186006	320.777	8399.37	7839.41	94072.9	0.0492456	0.116681	20321.6	208113	3
0.329442	709281	1330.63	959.842	60	60000	140.406	7035.32	6566.3	78795.6	0.0136935	0.329442	22441.8	229826	3
0.0394031	5077.31	19425.8	53.7689	536.451	536451	290.831	4706.78	4392.99	52715.9	0.104293	0.0394031	17524.5	179467	3
0.0552334	39391.1	12741.2	269.374	529.972	529972	326.811	6942.38	6479.55	77754.6	0.0957239	0.0552334	18156.4	185939	3
0.0872838	68481.3	10112.8	363.636	462.428	462428	348.609	8504.4	7937.44	95249.3	0.0704606	0.0872838	19414	198818	3
0.0223987	4585.71	20135.7	50.2055	538.778	538778	288.16	4553.4	4249.84	50998	0.1089	0.0223987	16972	173810	3
0.0940081	73779.5	9752.87	376.725	421.838	421838	351.341	8751.33	8167.91	98014.9	0.0650748	0.0940081	19645.7	201191	3
0.116819	200694	5132.09	551.787	184.591	184591	373.167	12815.3	11961	143532	0.049162	0.116819	20325.3	208150	3
0.0236566	4612.72	20092.7	50.4027	538.692	538692	288.318	4562.38	4258.22	51098.6	0.108706	0.0236566	17005.4	174151	3
0.142523	85244.1	9240.13	410.806	66.6933	66693.3	110.503	2837.79	2648.61	31783.3	0.0364171	0.142523	20908.8	214127	3
0.142558	85255.4	9239.54	410.832	66.6621	66662.1	110.425	2835.88	2646.82	31761.8	0.0364032	0.142558	20909.5	214133	3
0.0936037	73463.9	9773.51	375.968	424.739	424739	351.207	8737.44	8154.94	97859.3	0.0653919	0.0936037	19632.2	201052	3
