"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).T0_6"
0.0347374	4914.71	19644.8	52.5955	534.368	534368	289.964	4657.87	4347.35	52168.1	0.101022	0.0347374	17354.2	177724	0.11
0.168351	105433	8180.45	447.276	83.4049	83404.9	161.125	4422.93	4128.07	49536.8	0.0406202	0.168351	21341.3	218555	0.11
0.154281	173232	5831.52	531.138	115.702	115702	266.309	8645.02	8068.68	96824.2	0.0443653	0.154281	21122.1	216311	0.11
0.154127	173199	5831.96	531.07	116.199	116199	267.437	8681.36	8102.6	97231.2	0.0444093	0.154127	21119.6	216285	0.11
0.0452217	460514	2081.24	729.175	529.936	529936	508.25	23360.6	21803.3	261639	0.0956872	0.0452217	17749.7	181774	0.11
0.0872213	68442.1	10115.4	363.531	469.994	469994	348.732	8506.1	7939.03	95268.3	0.0717838	0.0872213	19411.8	198795	0.11
0.0942291	224663	4617.3	567.833	446.76	446760	432.814	15526.4	14491.3	173896	0.0680996	0.0942291	19653.1	201266	0.11
0.0825392	242273	4291.32	579.531	482.521	482521	441.433	16296	15209.6	182515	0.0743383	0.0825392	19242.2	197059	0.11
0.136335	105691	8064.09	441.834	199.594	199594	338.083	9351.56	8728.13	104738	0.0500357	0.136335	20784	212848	0.11
0.122525	96237.5	8489.57	424.221	290.8	290800	357.277	9613.59	8972.68	107672	0.0551829	0.122525	20470.3	209635	0.11
0.0961372	75512.6	9640.42	380.794	439.396	439396	353.021	8851.47	8261.37	99136.5	0.0671278	0.0961372	19716.1	201912	0.11
0.118238	92904.7	8654.07	417.808	319.681	319681	358.389	9543.34	8907.11	106885	0.0569314	0.118238	20362.2	208529	0.11
0.134113	104442	8116.12	439.497	213.321	213321	343.64	9472.83	8841.31	106096	0.0508154	0.134113	20736.9	212366	0.11
0.218554	142756	6787.23	503.229	60.8138	60813.8	104.732	3163.93	2953	35436	0.0310098	0.218554	21889	224164	0.11
0.0527109	26825.9	14261.8	207.384	525.259	525259	316.354	6261.8	5844.35	70132.2	0.0915125	0.0527109	18052.7	184877	0.11
0.0838159	65709.7	10313	356.427	479.321	479321	346.923	8367.59	7809.75	93717.1	0.073635	0.0838159	19289.1	197539	0.11
0.0243209	4627.53	20069.5	50.5108	537.062	537062	288.389	4567.03	4262.56	51150.7	0.105386	0.0243209	17023.6	174338	0.11
0.166705	175099	5814.16	535.45	86.0162	86016.2	185.405	6026.87	5625.07	67500.9	0.0410297	0.166705	21317.5	218312	0.11
