"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).l_6"
0.111569	87085	8963.56	406.37	289.429	289429	351.473	9180.08	8568.08	102817	0.0551027	0.111569	20183.2	206696	0.1
0.03381	4884.91	19686.6	52.38	533.511	533511	289.796	4648.59	4338.69	52064.2	0.0998441	0.03381	17321.8	177391	0.1
0.0609843	45898	12040.4	294.979	510.884	510884	331.995	7301.72	6814.93	81779.2	0.0831622	0.0609843	18393.3	188365	0.1
0.0590133	21282.4	14943.7	172.968	513.634	513634	312.069	5995.75	5596.04	67152.4	0.0844281	0.0590133	18312.2	187534	0.1
0.102601	80391.8	9341.83	391.967	354.141	354141	352.939	9008.22	8407.68	100892	0.0592293	0.102601	19921	204010	0.1
0.0313086	4808.8	19795.5	51.8287	534.466	534466	289.39	4625.06	4316.72	51800.7	0.101162	0.0313086	17236.9	176522	0.1
0.0984182	77173.8	9537.13	384.697	381.24	381240	352.183	8884.6	8292.29	99507.5	0.0612892	0.0984182	19789.9	202668	0.1
0.087755	68818.2	10089.5	364.513	437.82	437820	348.287	8507.88	7940.68	95288.2	0.0669292	0.087755	19430.7	198989	0.1
0.102692	80461.4	9337.71	392.122	353.524	353524	352.949	9010.69	8409.98	100920	0.0591854	0.102692	19923.8	204038	0.1
0.137063	186971	5475.47	542.726	128.013	128013	297	9917.51	9256.34	111076	0.0453916	0.137063	20799.2	213004	0.1
0.0482916	319700	3186.13	627.704	524.957	524957	471.989	19328.9	18040.3	216484	0.0912785	0.0482916	17872.6	183033	0.1
0.106013	621411	1486.64	869.497	330.348	330348	521.008	25626.9	23918.5	287022	0.057613	0.106013	20023.7	205062	0.1
0.103229	212860	4855.72	559.619	349.861	349861	422.884	14863.2	13872.3	166468	0.0589273	0.103229	19940.2	204207	0.1
0.0489164	5478.18	18944.3	56.6524	524.44	524440	292.63	4815.49	4494.45	53933.4	0.090885	0.0489164	17897.9	183292	0.1
0.0829256	12101.1	16062.4	106.112	457.451	457451	305.01	5593.62	5220.71	62648.5	0.0696609	0.0829256	19256.5	197205	0.1
0.0818936	8357.02	16989	77.6258	461.198	461198	300.418	5311.66	4957.55	59490.6	0.0702581	0.0818936	19218.4	196815	0.1
0.0879822	233852	4443.46	574.052	436.808	436808	436.568	15900.6	14840.6	178087	0.0668033	0.0879822	19438.7	199071	0.1
0.0620538	46957.5	11933	298.831	509.286	509286	332.843	7360.4	6869.71	82436.5	0.0824767	0.0620538	18437.2	188815	0.1
0.0706959	54816.6	11192.6	325.152	493.187	493187	338.907	7789.32	7270.03	87240.4	0.0770092	0.0706959	18787.1	192398	0.1
0.0943811	224591	4619.17	567.829	404.852	404852	431.294	15469.4	14438.1	173257	0.0633594	0.0943811	19658.1	201318	0.1
0.22642	688500	1374.96	940.644	60.1205	60120.5	140.362	6995.97	6529.57	78354.9	0.0271591	0.22642	21950.7	224796	0.1
