"# (R23 - production T).gT"	"[Z]"	"[mu2]"	"[mZ]"	"[mF]"	"[F]"	"[mP]"	"[PE]"	"[PG]"	"[PM]"	"[I]"	"[T]"	"[mS]"	"[S]"	"(R21 - production I).l_6"
0.072231	260274	3989.77	590.923	488.157	488157	449.101	17037.3	15901.4	190817	0.0756803	0.072231	18848	193021	0.09
0.111569	86950.4	8971.97	406.144	278.894	278894	349.916	9134.65	8525.68	102308	0.0544928	0.111569	20183.2	206696	0.09
0.03381	4884.91	19686.6	52.38	533.426	533426	289.795	4648.58	4338.67	52064.1	0.0997312	0.03381	17321.8	177391	0.09
0.0609843	45897.3	12040.5	294.976	510.198	510198	331.985	7301.47	6814.71	81776.5	0.082864	0.0609843	18393.3	188365	0.09
0.0590133	21282.8	14943.6	172.971	513.039	513039	312.062	5995.63	5595.92	67151	0.084144	0.0590133	18312.2	187534	0.09
0.102601	80350.3	9344.69	391.893	346.084	346084	352.41	8993.16	8393.62	100723	0.0586652	0.102601	19921	204010	0.09
0.0313086	4808.79	19795.5	51.8287	534.398	534398	289.389	4625.05	4316.71	51800.5	0.101064	0.0313086	17236.9	176522	0.09
0.0984182	77149.1	9538.92	384.652	374.473	374473	351.855	8875.36	8283.67	99404.1	0.060748	0.0984182	19789.9	202668	0.09
0.087755	68810.8	10090.1	364.497	433.917	433917	348.181	8504.98	7937.98	95255.7	0.0664506	0.087755	19430.7	198989	0.09
0.102692	80419.4	9340.59	392.047	345.439	345439	352.413	8995.47	8395.77	100749	0.0586208	0.102692	19923.8	204038	0.09
0.137063	189319	5425.75	545.288	119.244	119244	279.52	9371.34	8746.59	104959	0.0446737	0.137063	20799.2	213004	0.09
0.0482916	319701	3186.13	627.704	524.685	524685	471.984	19328.7	18040.2	216482	0.0910704	0.0482916	17872.6	183033	0.09
0.106013	621339	1486.97	869.458	321.26	321260	519.896	25571.2	23866.5	286398	0.057031	0.106013	20023.7	205062	0.09
0.103229	212925	4854.58	559.687	341.611	341611	422.267	14843	13853.4	166241	0.0583598	0.103229	19940.2	204207	0.09
0.0489164	5478.17	18944.4	56.6523	524.154	524154	292.627	4815.43	4494.4	53932.8	0.0906726	0.0489164	17897.9	183292	0.09
0.0829256	12104.2	16062	106.137	454.518	454518	304.957	5592.72	5219.87	62638.4	0.0692127	0.0829256	19256.5	197205	0.09
0.0818936	8355.6	16989.7	77.6159	458.445	458445	300.366	5310.59	4956.55	59478.6	0.0698166	0.0818936	19218.4	196815	0.09
0.0879822	233864	4443.28	574.064	432.854	432854	436.444	15896.4	14836.6	178039	0.0663234	0.0879822	19438.7	199071	0.09
0.0620538	46956.7	11933.1	298.829	508.547	508547	332.832	7360.13	6869.45	82433.5	0.0821708	0.0620538	18437.2	188815	0.09
